"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6769","File upload test automation","chromium","Sun Aug 10 19:57:52 BDT 2025","passed","Sun Aug 10 19:57:58 BDT 2025","","008Product.spec.ts","",""
"","5982","Hover the item and click register button","chromium","Sun Aug 10 19:48:33 BDT 2025","passed","Sun Aug 10 19:48:39 BDT 2025","TEST CASE 1-Validate registration using valid data:-","005Product.spec.ts","",""
"","970","POST request - create a post","chromium","Sat Jun 21 21:35:14 BDT 2025","passed","Sat Jun 21 21:35:15 BDT 2025","API Testing with Playwright","005Product.spec.ts","",""
"","18131","Add Product E2E Test","chromium","Sun Aug 10 19:38:41 BDT 2025","passed","Sun Aug 10 19:38:59 BDT 2025","","003Product.spec.ts","",""
"","771","API Get Request","chromium","Sat Jun 21 22:24:27 BDT 2025","passed","Sat Jun 21 22:24:28 BDT 2025","","005Product.spec.ts","",""
"","14035","Add Product E2E Test2","chromium","Sun Aug 10 19:36:09 BDT 2025","passed","Sun Aug 10 19:36:23 BDT 2025","test2222","001Product.spec.ts","",""
"","31279","Add Product E2E Test1","chromium","Sun Aug 10 19:35:37 BDT 2025","passed","Sun Aug 10 19:36:08 BDT 2025","test2222","001Product.spec.ts","",""
"","9544","Product list count :::","chromium","Sun Aug 10 19:38:20 BDT 2025","passed","Sun Aug 10 19:38:29 BDT 2025","","002Product.spec.ts","",""
"","5426","Open current browser and disable notifications","chromium","Sun Aug 10 19:48:26 BDT 2025","passed","Sun Aug 10 19:48:31 BDT 2025","TEST CASE 1-Validate registration using valid data:-","005Product.spec.ts","",""
"","9756","Without-fixtures 3","chromium","Sun Aug 10 19:47:24 BDT 2025","passed","Sun Aug 10 19:47:33 BDT 2025","TEST SUITE","004Product.spec.ts","",""
"","65067","file upload test automation","chromium","Sun Jul 13 19:57:19 BDT 2025","broken","Sun Jul 13 19:58:24 BDT 2025","","007Product.spec.ts","",""
"","28284","Test Case 1: Verify Feature Items","chromium","Sat Aug 16 16:41:37 BDT 2025","passed","Sat Aug 16 16:42:05 BDT 2025","Sauce Demo Tests with Session","090Product.spec.ts","",""
"","2433","Login with valid credentials","chromium","Sun Aug 10 19:57:12 BDT 2025","passed","Sun Aug 10 19:57:14 BDT 2025","","007Product.spec.ts","",""
"","18762","Test Case 2: Scroll to Bottom","chromium","Sat Aug 16 16:42:05 BDT 2025","passed","Sat Aug 16 16:42:24 BDT 2025","Sauce Demo Tests with Session","090Product.spec.ts","",""
"","10057","Without-fixtures 4","chromium","Sun Aug 10 19:47:33 BDT 2025","passed","Sun Aug 10 19:47:44 BDT 2025","TEST SUITE","004Product.spec.ts","",""
"","327","GET request - fetch a post","chromium","Sat Jun 21 21:34:44 BDT 2025","passed","Sat Jun 21 21:34:44 BDT 2025","API Testing with Playwright","005Product.spec.ts","",""
